number579
total area 62997.000000
total length 8593.000000
ID area length
398 21.000000 0.000000
399 148.000000 0.000000
400 50.000000 0.000000
401 318.000000 48.000000
402 2.000000 0.000000
403 1.000000 0.000000
404 1.000000 0.000000
405 52.000000 0.000000
406 243.000000 42.000000
407 34.000000 0.000000
408 57.000000 0.000000
409 1.000000 0.000000
410 51.000000 18.000000
411 20.000000 0.000000
412 65.000000 0.000000
413 1.000000 0.000000
414 94.000000 26.000000
415 34.000000 0.000000
416 21.000000 0.000000
417 21.000000 0.000000
418 183.000000 24.000000
419 21.000000 0.000000
420 15.000000 0.000000
421 1.000000 0.000000
422 63.000000 0.000000
423 1.000000 0.000000
424 1.000000 0.000000
425 1.000000 0.000000
426 43.000000 0.000000
427 35.000000 0.000000
428 165.000000 0.000000
429 44.000000 0.000000
430 1.000000 0.000000
431 1.000000 0.000000
432 335.000000 64.000000
433 1.000000 0.000000
434 1.000000 0.000000
435 102.000000 0.000000
436 550.000000 86.000000
437 2.000000 0.000000
438 24.000000 0.000000
439 1.000000 0.000000
440 80.000000 21.000000
441 33.000000 0.000000
442 28.000000 0.000000
443 76.000000 0.000000
444 413.000000 70.000000
445 31.000000 0.000000
446 20.000000 0.000000
447 298.000000 32.000000
448 73.000000 20.000000
449 1014.000000 191.000000
450 36.000000 0.000000
451 27.000000 0.000000
452 1.000000 0.000000
453 22.000000 0.000000
454 3812.000000 525.000000
455 6.000000 0.000000
456 15.000000 0.000000
457 1.000000 0.000000
458 110.000000 30.000000
459 842.000000 120.000000
460 47.000000 0.000000
461 40.000000 0.000000
462 290.000000 59.000000
463 1.000000 0.000000
464 522.000000 96.000000
465 23.000000 0.000000
466 43.000000 0.000000
467 23.000000 0.000000
468 48.000000 0.000000
469 46.000000 0.000000
470 22.000000 0.000000
471 1.000000 0.000000
472 1.000000 0.000000
473 125.000000 22.000000
474 2.000000 0.000000
475 1.000000 0.000000
476 20.000000 0.000000
477 95.000000 0.000000
478 23.000000 0.000000
479 22.000000 0.000000
480 100.000000 0.000000
481 20.000000 0.000000
482 28.000000 0.000000
483 27.000000 0.000000
484 26.000000 0.000000
485 21.000000 0.000000
486 22.000000 0.000000
487 226.000000 44.000000
488 2.000000 0.000000
489 25.000000 0.000000
490 977.000000 119.000000
491 44.000000 16.000000
492 51.000000 19.000000
493 224.000000 52.000000
494 32.000000 0.000000
495 425.000000 63.000000
496 184.000000 50.000000
497 1.000000 0.000000
498 1296.000000 245.000000
499 20.000000 0.000000
500 73.000000 0.000000
501 23.000000 0.000000
502 158.000000 29.000000
503 62.000000 16.000000
504 112.000000 17.000000
505 300.000000 69.000000
506 21.000000 0.000000
507 4.000000 0.000000
508 53.000000 0.000000
509 1.000000 0.000000
510 28.000000 0.000000
511 20.000000 0.000000
512 20.000000 0.000000
513 45.000000 0.000000
514 251.000000 61.000000
515 74.000000 0.000000
516 21.000000 0.000000
517 48.000000 0.000000
518 35.000000 17.000000
519 54.000000 0.000000
520 76.000000 18.000000
521 81.000000 30.000000
522 24.000000 0.000000
523 109.000000 27.000000
524 20.000000 0.000000
525 65.000000 0.000000
526 59.000000 0.000000
527 21.000000 0.000000
528 665.000000 117.000000
529 23.000000 0.000000
530 27.000000 0.000000
531 21.000000 0.000000
532 87.000000 29.000000
533 25.000000 0.000000
534 22.000000 0.000000
535 355.000000 122.000000
536 26.000000 0.000000
537 142.000000 30.000000
538 34.000000 0.000000
539 48.000000 19.000000
540 189.000000 44.000000
541 51.000000 0.000000
542 38.000000 0.000000
543 20.000000 0.000000
544 30.000000 0.000000
545 45.000000 0.000000
546 783.000000 96.000000
547 38.000000 0.000000
548 20.000000 0.000000
549 21.000000 0.000000
550 36.000000 0.000000
551 419.000000 57.000000
552 128.000000 21.000000
553 1.000000 0.000000
554 98.000000 24.000000
555 132.000000 39.000000
556 397.000000 63.000000
557 30.000000 0.000000
558 23.000000 0.000000
559 312.000000 53.000000
560 205.000000 58.000000
561 36.000000 0.000000
562 1.000000 0.000000
563 230.000000 20.000000
564 27.000000 0.000000
565 66.000000 16.000000
566 40.000000 0.000000
567 28.000000 0.000000
568 73.000000 19.000000
569 249.000000 50.000000
570 68.000000 0.000000
571 38.000000 0.000000
572 23.000000 0.000000
573 1.000000 0.000000
574 615.000000 102.000000
575 61.000000 0.000000
576 21.000000 0.000000
577 32.000000 0.000000
578 25.000000 0.000000
579 23.000000 0.000000
